"r1","r2","commit","bug","msg_size","author_experience","nbr_insert_line_commit","nbr_deleted_line_commit","nbr_churn_file_commit","week_day","month_day","month","MaxNesting","CountDeclFunction","Cyclomatic","CountLineCode","CountStmtDecl","CountLineBlank_Php","RatioCommentToCode","freq","pic","predict"
"2.3.3","2.5","5367493b",1,6,2995,8,8,3,"Wed",27,"Feb",4,13,1,365,17,109,0.19,2,"1","0"
"4.4.2","4.5","f39d1e4f",1,29,170,32,15,10,"Wed",9,"Mar",0,2,1,62,4,6,0.61,1,"1","0"
"3.5.2","3.6","585eda12",0,6,1092,105,123,2,"Wed",3,"Jul",2,16,1,559,25,165,0.31,2,"1","0"
"2.9.2","3.0","c29313ab",1,14,887,3,0,1,"Thu",8,"Apr",5,44,1,649,60,172,0.83,1,"1","0"
"2.9.2","3.0","4b88d154",0,9,887,5,0,1,"Fri",26,"Feb",6,43,1,1251,69,336,0.77,3,"1","0"
"3.9.2","4.0","b938bfb7",0,10,842,38,8,3,"Thu",7,"Aug",4,41,1,790,52,217,0.97,3,"1","0"
"4.3.1","4.4","c5b6202d",0,20,1945,3,42,3,"Tue",20,"Oct",0,0,1,6,0,4,4.17,1,"1","0"
"2.5.1","2.6","0c9006cc",0,2,3442,1,1,1,"Wed",4,"Jun",2,4,1,36,8,9,0.06,1,"1","0"
"4.6.1","4.7","5b633c54",1,16,274,43,3,2,"Wed",9,"Nov",5,76,1,1386,101,332,0.77,13,"1","0"
"2.8.6","2.9","0fa00fd8",1,8,710,1,1,1,"Mon",7,"Dec",5,19,1,602,24,87,0.31,1,"1","0"
"3.4","3.4.1","52a69faf",1,64,2636,30,27,3,"Tue",26,"Jun",2,19,8,64,19,34,0.95,3,"1","0"
"4.4.2","4.5","91460e2a",0,8,170,3,5,2,"Thu",10,"Mar",2,8,7,154,8,30,0.49,1,"1","0"
"2.9.2","3.0","b4b9f607",0,12,898,33,34,1,"Thu",18,"Mar",6,59,1,1508,142,355,0.63,33,"1","0"
"3.4.2","3.5","51326aaf",0,10,658,3,1,1,"Fri",21,"Sep",6,19,1,788,35,202,0.12,3,"1","0"
"4.4.2","4.5","bffdae7b",1,14,817,6,6,3,"Wed",17,"Feb",4,17,1,441,30,109,0.67,3,"1","0"
"3.5.2","3.6","9e0d1388",0,3,263,1,1,1,"Thu",1,"Aug",0,0,1,6,0,4,4.17,1,"1","0"
"2.9.2","3.0","27b9ed12",1,5,247,6,4,1,"Mon",29,"Mar",4,83,1,1051,115,334,0.81,2,"1","0"
"2.0","2.0.1","dd14d472",0,2,1574,1,1,1,"Sat",28,"Jan",5,141,2,1767,233,422,0.06,1,"1","0"
"2.7.1","2.8","4120f8e0",1,13,531,1,1,1,"Sat",30,"May",3,12,1,378,19,63,0.29,1,"1","0"
"2.7.1","2.8","9fff12ac",1,6,5042,1,1,1,"Tue",21,"Apr",6,0,42,254,0,56,0.06,1,"1","0"
"2.0.7","2.1","f9e84c7b",1,8,1486,5,1,1,"Tue",16,"Jan",4,11,1,190,24,34,0.79,1,"1","0"
"3.2.1","3.3","6e2ffdc2",0,15,71,8,4,1,"Mon",19,"Sep",8,79,1,958,97,268,0.82,4,"1","0"
"2.2.3","2.3","3542e01f",1,8,2029,9,1,1,"Thu",20,"Sep",1,0,11,126,0,19,0.11,6,"1","0"
"4.6.1","4.7","6cab59e9",1,22,101,4,4,2,"Thu",6,"Oct",2,1,17,74,1,21,0.43,3,"1","0"
"4.3.1","4.4","a2609c13",0,13,322,8,4,2,"Mon",12,"Oct",0,0,1,6,0,4,4.17,1,"1","0"
